Country,MID,Weights,Rebills Attempts,Rebills SR%,Rebills Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
FR,85,1,38,0.23684210526315788,0.47368421052631576,0,18,0,0,0,0,0,0,0
FR,86,1,41,0.21951219512195122,0.4146341463414634,0,17,0,0,0,0,0,0,0
FR,87,20,227,0.16299559471365638,0.5682819383259912,4,125,0,0,0,0,0,0,0
FR,88,1,232,0.14224137931034483,0.5301724137931034,39,1,83,0,0,0,0,0,0
FR,89,1,481,0.09147609147609148,0.7276507276507277,135,9,206,0,0,0,0,6,0
FR,90,1,74,0.35135135135135137,0.4864864864864865,13,5,18,0,0,0,0,1,0
FR,91,1,72,0.4444444444444444,0.3055555555555556,9,6,7,0,0,0,0,0,0
FR,92,20,229,0.2096069868995633,0.6069868995633187,59,2,78,0,0,0,0,0,0
FR,98,38,16,0.375,0.0625,0,0,1,0,0,0,0,0,0
FR,99,50,32,0.15625,0.65625,0,8,13,0,0,0,2,0,0
FR,100,38,39,0.15384615384615385,0.48717948717948717,5,5,9,0,0,0,2,0,0
FR,101,50,8,0.375,0.25,0,1,1,0,0,0,1,0,0
FR,102,20,38,0.18421052631578946,0.5263157894736842,1,9,10,0,0,0,0,0,0
FR,109,5,29,0.1724137931034483,0.41379310344827586,6,0,6,0,0,0,0,0,0
FR,110,5,14,0.14285714285714285,0.35714285714285715,2,3,0,0,0,0,2,0,0
FR,111,5,28,0.25,0.6071428571428571,6,2,9,0,0,0,0,0,0
FR,112,5,17,0.23529411764705882,0.7058823529411765,5,7,0,0,0,0,1,0,0
FR,218,20,470,0.11914893617021277,0.6553191489361702,8,300,0,0,0,0,0,0,0
FR,219,50,291,0.12714776632302405,0.6254295532646048,4,178,0,0,0,0,0,0,0
FR,220,0,354,0.059322033898305086,0.7344632768361582,4,256,0,0,0,0,0,0,0
FR,221,150,439,0.29157175398633256,0.33940774487471526,3,146,0,0,0,0,0,3,0
FR,222,0,124,0.056451612903225805,0.6129032258064516,0,76,0,0,0,0,0,0,0
HU,2,30,2,0.5,0.0,0,0,0,0,0,0,0,0,0
HU,3,30,11,0.36363636363636365,0.2727272727272727,0,0,0,3,0,0,0,0,0
HU,4,30,7,0.2857142857142857,0.7142857142857143,5,0,0,0,0,0,0,0,0
HU,5,1,10,0.1,0.6,6,0,0,0,0,0,0,0,0
HU,6,30,5,0.2,0.0,0,0,0,0,0,0,0,0,0
HU,22,38,1,0.0,1.0,1,0,0,0,0,0,0,0,0
HU,24,105,4,0.0,0.5,1,1,0,0,0,0,0,0,0
HU,25,120,5,0.2,0.0,0,0,0,0,0,0,2,0,0
HU,52,1,32,0.3125,0.03125,1,0,0,0,0,0,0,1,0
HU,53,30,18,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0
HU,54,10,12,0.08333333333333333,0.25,3,0,0,0,0,0,0,0,0
HU,55,10,26,0.038461538461538464,0.23076923076923078,6,0,0,0,0,0,0,3,0
HU,56,30,25,0.08,0.24,6,0,0,0,0,0,0,4,0
HU,62,30,30,0.13333333333333333,0.26666666666666666,8,0,0,0,0,0,0,0,0
HU,63,30,27,0.2222222222222222,0.037037037037037035,0,0,0,1,0,0,0,0,0
HU,64,90,11,0.2727272727272727,0.45454545454545453,5,0,0,0,0,0,0,0,0
HU,65,10,1,1.0,0.0,0,0,0,0,0,0,0,0,0
HU,66,38,1,1.0,0.0,0,0,0,0,0,0,0,0,0
HU,83,30,35,0.17142857142857143,0.22857142857142856,0,2,0,6,0,0,0,0,0
HU,84,1,17,0.4117647058823529,0.17647058823529413,0,0,0,3,0,0,0,6,0
HU,85,1,34,0.11764705882352941,0.17647058823529413,0,0,0,6,0,0,0,0,0
HU,86,40,9,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,0
HU,87,40,13,0.15384615384615385,0.0,0,0,0,0,0,0,0,0,0
HU,88,30,17,0.17647058823529413,0.0,0,0,0,0,0,0,0,0,0
HU,89,10,5,0.2,0.0,0,0,0,0,0,0,0,0,0
HU,90,30,11,0.18181818181818182,0.36363636363636365,4,0,0,0,0,0,0,0,0
HU,91,40,1,0.0,0.0,0,0,0,0,0,0,0,0,0
HU,92,38,3,0.3333333333333333,0.0,0,0,0,0,0,0,0,2,0
HU,109,5,1,1.0,0.0,0,0,0,0,0,0,0,0,0
HU,112,5,4,0.5,0.0,0,0,0,0,0,0,0,0,0
HU,218,100,30,0.13333333333333333,0.03333333333333333,0,1,0,0,0,0,0,0,0
HU,219,1,45,0.2,0.15555555555555556,0,0,0,7,0,0,0,0,0
HU,220,1,82,0.25609756097560976,0.012195121951219513,0,1,0,0,0,0,0,0,0
HU,221,1,26,0.23076923076923078,0.0,0,0,0,0,0,0,0,0,0
HU,222,100,28,0.21428571428571427,0.0,0,0,0,0,0,0,0,0,0
IT,2,1,11,0.45454545454545453,0.18181818181818182,2,0,0,0,0,0,0,0,0
IT,3,80,85,0.11764705882352941,0.3176470588235294,27,0,0,0,0,0,0,0,2
IT,4,1,20,0.25,0.4,8,0,0,0,0,0,0,0,0
IT,5,182,119,0.1092436974789916,0.20168067226890757,24,0,0,0,0,0,0,0,4
IT,6,1,14,0.14285714285714285,0.5714285714285714,8,0,0,0,0,0,0,0,0
IT,22,38,25,0.0,0.12,3,0,0,0,0,0,0,0,0
IT,23,38,21,0.0,0.14285714285714285,1,2,0,0,0,0,0,0,0
IT,24,20,20,0.05,0.0,0,0,0,0,0,0,0,0,0
IT,25,45,7,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,0
IT,26,60,37,0.10810810810810811,0.02702702702702703,1,0,0,0,0,0,0,0,0
IT,52,20,1114,0.07809694793536805,0.27289048473967686,253,0,49,2,0,0,0,45,0
IT,53,50,1232,0.08603896103896104,0.29545454545454547,262,0,97,5,0,0,0,20,0
IT,54,200,893,0.07166853303471445,0.2206047032474804,151,0,46,0,0,0,0,1,0
IT,55,40,808,0.06930693069306931,0.35396039603960394,229,0,56,1,0,0,0,28,0
IT,56,150,728,0.08241758241758242,0.25274725274725274,130,0,54,0,0,0,0,2,0
IT,62,80,830,0.0927710843373494,0.20722891566265061,140,0,32,0,0,0,0,37,0
IT,63,30,936,0.0876068376068376,0.36752136752136755,244,0,100,0,0,0,0,21,0
IT,64,20,301,0.07973421926910298,0.37209302325581395,111,0,1,0,0,0,0,21,0
IT,65,60,1579,0.0766307789740342,0.305256491450285,351,0,129,2,0,0,0,40,0
IT,66,40,545,0.10091743119266056,0.28807339449541286,136,0,21,0,0,0,0,20,0
IT,83,1,81,0.09876543209876543,0.24691358024691357,0,20,0,0,0,0,0,0,0
IT,84,150,851,0.09518213866039953,0.26439482961222094,3,222,0,0,0,0,0,3,0
IT,85,10,100,0.15,0.24,0,24,0,0,0,0,0,2,0
IT,86,100,41,0.14634146341463414,0.04878048780487805,0,2,0,0,0,0,0,0,0
IT,87,1,94,0.10638297872340426,0.1702127659574468,0,16,0,0,0,0,0,0,0
IT,88,0,670,0.03134328358208955,0.6119402985074627,349,0,61,0,0,0,0,109,10
IT,89,0,992,0.023185483870967742,0.6300403225806451,507,0,118,0,0,0,0,150,3
IT,90,0,1152,0.030381944444444444,0.6397569444444444,545,0,192,0,0,0,0,189,5
IT,91,1,2,0.0,1.0,2,0,0,0,0,0,0,0,0
IT,92,1,729,0.04252400548696845,0.5829903978052127,315,2,108,0,0,0,0,87,9
IT,98,1,60,0.08333333333333333,0.3,10,4,3,1,0,0,0,0,0
IT,99,1,47,0.10638297872340426,0.1702127659574468,5,0,3,0,0,0,0,0,0
IT,100,1,55,0.10909090909090909,0.21818181818181817,12,0,0,0,0,0,0,0,0
IT,101,10,61,0.04918032786885246,0.29508196721311475,7,2,0,9,0,0,0,1,0
IT,102,10,63,0.15873015873015872,0.06349206349206349,1,0,2,1,0,0,0,0,0
IT,109,1,81,0.06172839506172839,0.30864197530864196,25,0,0,0,0,0,0,0,0
IT,110,5,47,0.1276595744680851,0.3191489361702128,7,0,8,0,0,0,0,0,0
IT,111,5,46,0.13043478260869565,0.15217391304347827,5,2,0,0,0,0,0,0,0
IT,112,20,43,0.20930232558139536,0.32558139534883723,12,0,2,0,0,0,0,0,0
IT,218,15,104,0.11538461538461539,0.17307692307692307,0,14,0,4,0,0,0,0,0
IT,219,10,75,0.13333333333333333,0.22666666666666666,0,17,0,0,0,0,0,0,0
IT,220,1,170,0.08823529411764706,0.058823529411764705,0,10,0,0,0,0,0,0,0
IT,221,1,164,0.18292682926829268,0.17682926829268292,4,25,0,0,0,0,0,0,0
IT,222,1,29,0.0,0.4827586206896552,0,14,0,0,0,0,0,0,0
LT,2,1,6,0.8333333333333334,0.0,0,0,0,0,0,0,0,0,0
LT,3,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0
LT,4,10,2,1.0,0.0,0,0,0,0,0,0,0,0,0
LT,5,1,10,0.2,0.1,1,0,0,0,0,0,0,0,0
LT,6,1,4,0.5,0.0,0,0,0,0,0,0,2,0,0
LT,22,38,10,0.0,0.0,0,0,0,0,0,0,0,0,0
LT,25,20,6,0.0,0.8333333333333334,0,5,0,0,0,0,0,0,0
LT,26,5,11,0.0,0.8181818181818182,3,0,6,0,0,0,0,0,0
LT,52,1,56,0.25,0.17857142857142858,10,0,0,0,0,0,0,0,0
LT,53,1,42,0.23809523809523808,0.19047619047619047,1,0,7,0,0,0,0,0,0
LT,54,1,19,0.10526315789473684,0.47368421052631576,4,0,5,0,0,0,0,0,0
LT,55,1,28,0.25,0.0,0,0,0,0,0,0,0,0,0
LT,56,1,61,0.16393442622950818,0.4426229508196721,19,0,8,0,0,0,0,1,0
LT,62,1,8,0.625,0.125,1,0,0,0,0,0,0,0,0
LT,63,1,36,0.2222222222222222,0.4722222222222222,11,0,6,0,0,0,0,0,0
LT,64,5,54,0.24074074074074073,0.14814814814814814,8,0,0,0,0,0,0,0,0
LT,65,1,56,0.07142857142857142,0.21428571428571427,12,0,0,0,0,0,0,0,0
LT,66,20,11,0.6363636363636364,0.18181818181818182,2,0,0,0,0,0,0,0,0
LT,83,1,23,0.21739130434782608,0.043478260869565216,0,1,0,0,0,0,0,0,0
LT,84,1,8,0.625,0.0,0,0,0,0,0,0,0,0,0
LT,85,1,70,0.24285714285714285,0.0,0,0,0,0,0,0,0,0,0
LT,86,1,36,0.3888888888888889,0.1388888888888889,0,5,0,0,0,0,0,0,0
LT,87,1,20,0.35,0.25,5,0,0,0,0,0,0,0,0
